iter	TotalF1:average=Macro	MultiClass
0	0.317277592	2.089159571
1	0.3279648667	1.934278487
2	0.3483678515	1.819964327
3	0.3458318851	1.722147488
4	0.3483437684	1.639073723
5	0.3465358542	1.569426105
6	0.3518400011	1.507282046
7	0.3543347994	1.451413916
8	0.3567680234	1.404178791
9	0.3510277536	1.364782943
10	0.354812455	1.324402878
11	0.3603791583	1.287724376
12	0.3571291217	1.256875245
13	0.3600742608	1.226046226
14	0.363852638	1.198069495
15	0.361577428	1.172394524
16	0.3634337899	1.148952732
17	0.365929512	1.126766524
