User_ID,Policy_Cancelled_Post_Purchase,Policy_Start_Year,Policy_Start_Week,Policy_Start_Day,Grace_Period_Extensions,Previous_Policy_Duration_Months,Adult_Dependents,Child_Dependents,Infant_Dependents,Region_Code,Existing_Policyholder,Previous_Claims_Filed,Years_Without_Claims,Policy_Amendments_Count,Broker_ID,Employer_ID,Underwriting_Processing_Days,Vehicles_on_Policy,Custom_Riders_Requested,Broker_Agency_Type,Deductible_Tier,Acquisition_Channel,Payment_Schedule,Employment_Status,Estimated_Annual_Income,Days_Since_Quote,Policy_Start_Month,Purchased_Coverage_Bundle
USR_000000,1,2016,50,8,0,3,2,0.0,0,AUT,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,26267.93,28,April,2
USR_000001,0,2016,10,4,0,2,2,0.0,0,PRT,0,0,0,0,250.0,,0,1,0,National_Corporate,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,24355.18,4,July,4
USR_000002,0,2016,9,22,1,0,1,0.0,0,PRT,0,0,0,0,240.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,13033.18,0,June,2
USR_000003,0,2015,40,3,1,1,2,0.0,0,FRA,0,0,0,0,1.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Affiliate_Group,Monthly_EFT,Self_Employed,20154.42,178,February,2
USR_000004,1,2017,16,17,1,3,2,0.0,0,IRL,0,0,0,0,240.0,,0,0,2,National_Corporate,Tier_2_Mid_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,31368.1,178,August,2
USR_000005,0,2017,35,29,0,1,1,0.0,0,PRT,0,0,0,0,,451.0,0,0,0,Urban_Boutique,Tier_1_High_Ded,Corporate_Partner,Monthly_EFT,Employed_FullTime,29165.65,29,December,4
USR_000006,0,2016,21,19,2,5,2,0.0,0,GBR,0,0,0,0,40.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Local_Broker,Monthly_EFT,Contractor,12041.9,303,September,2
USR_000007,0,2016,33,8,1,4,3,0.0,0,ESP,0,0,0,2,9.0,,0,1,2,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,46789.82,151,December,4
USR_000008,1,2017,19,8,1,1,1,0.0,0,PRT,0,0,0,0,170.0,,10,0,0,Urban_Boutique,Tier_1_High_Ded,Affiliate_Group,Annual_Upfront,Employed_FullTime,36785.22,84,September,2
USR_000009,1,2016,16,15,1,2,2,0.0,0,BEL,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,43793.91,51,August,4
USR_000010,0,2017,33,17,2,5,2,1.0,0,FRA,0,0,0,0,241.0,,0,0,1,National_Corporate,Tier_2_Mid_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,77511.63,164,December,4
USR_000011,1,2017,35,31,1,3,2,2.0,0,ITA,0,0,0,0,240.0,,0,0,1,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,87327.06,16,December,6
USR_000012,1,2016,40,25,2,1,2,0.0,0,COL,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,39549.63,66,January,2
USR_000013,0,2017,6,10,2,2,2,0.0,0,GBR,0,0,0,1,314.0,,0,0,1,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,18708.06,44,June,2
USR_000014,1,2017,20,19,0,1,3,0.0,0,PRT,0,0,0,0,14.0,,0,0,0,Urban_Boutique,Tier_2_Mid_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,94599.55,38,September,4
USR_000015,0,2016,38,13,2,8,2,0.0,0,GBR,0,0,0,1,40.0,,0,0,0,National_Corporate,Tier_2_Mid_Ded,Local_Broker,Monthly_EFT,Employed_FullTime,38100.66,277,January,3
USR_000016,0,2017,31,31,1,5,2,0.0,0,GBR,0,0,0,0,132.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Local_Broker,Monthly_EFT,Employed_FullTime,26345.7,115,November,2
USR_000017,0,2017,8,22,0,2,1,0.0,0,ESP,0,0,0,4,,,0,0,2,Urban_Boutique,Tier_1_High_Ded,Affiliate_Group,Monthly_EFT,Self_Employed,20252.31,34,June,2
USR_000018,0,2016,12,19,2,1,2,0.0,0,PRT,0,0,0,0,240.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,26058.5,0,July,3
USR_000019,0,2016,34,15,1,4,2,0.0,0,ESP,0,0,0,0,240.0,,0,0,2,National_Corporate,Tier_2_Mid_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,95588.85,23,December,2
USR_000020,0,2016,52,22,1,3,2,0.0,0,ECU,0,0,0,0,9.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,48507.68,21,April,7
USR_000021,0,2016,36,30,0,3,2,0.0,0,USA,0,0,0,1,250.0,,0,0,0,National_Corporate,Tier_1_High_Ded,Direct_Website,Monthly_EFT,Employed_FullTime,75436.7,88,December,7
USR_000022,0,2016,38,15,0,2,2,0.0,0,USA,0,0,0,0,7.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,49331.17,20,January,4
USR_000023,0,2017,30,26,0,3,2,0.0,0,ESP,0,0,0,0,85.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,25275.52,57,November,2
USR_000024,0,2015,32,8,4,9,2,0.0,0,FRA,0,0,0,0,240.0,,0,1,0,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,57245.73,43,December,4
USR_000025,0,2016,37,8,0,2,2,0.0,0,PRT,0,0,0,0,240.0,,0,1,1,National_Corporate,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,66444.61,18,January,2
USR_000026,1,2016,27,26,2,1,1,0.0,0,AUS,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_4_Zero_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,37303.14,0,October,2
USR_000027,0,2016,47,13,2,4,2,0.0,0,IRL,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,28874.38,14,March,2
USR_000028,0,2015,43,19,1,4,2,0.0,0,FRA,0,0,0,0,28.0,,0,0,0,Urban_Boutique,Tier_1_High_Ded,Local_Broker,Monthly_EFT,Employed_FullTime,29953.57,22,February,4
USR_000029,0,2017,1,3,0,3,2,0.0,0,BRA,0,0,0,0,7.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,22463.01,63,May,2
USR_000030,0,2016,23,4,1,1,1,0.0,0,ITA,0,0,0,0,9.0,,0,0,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,40108.91,94,October,2
USR_000031,0,2016,14,2,2,1,3,0.0,0,BEL,0,0,0,0,9.0,,0,1,1,Urban_Boutique,Tier_1_High_Ded,Aggregator_Site,Monthly_EFT,Employed_FullTime,55571.42,0,August,4
